student_id,attendance_percentage,past_exam_avg,assignment_completion_rate,study_hours_per_week,participation_score,performance_label
1001,74.9816047538945,81.88970284118471,59.25664644193098,13.938881058133015,3.355351153623154,Good
1002,98.02857225639664,72.16578198064722,77.0950473689179,13.021183185483812,3.2228091916479986,Good
1003,89.2797576724562,58.571656977179664,93.64729179382041,2.5897675135480207,9.15629122468933,Good
1004,83.94633936788146,88.82770118241692,86.61124432047805,9.848700035401595,3.245915798645555,Good
1005,66.24074561769746,81.08387035323275,90.32805739307248,10.744499232074713,3.447547535157679,Average
1006,66.2397808134481,49.75701636069348,82.93916833553587,11.172923960628712,7.8345843617616735,Average
1007,62.323344486727976,94.65563106963054,84.61382822589263,15.343964492228643,5.04765858205486,Good
1008,94.6470458309974,89.35223457539014,92.45978257826596,14.272858574718205,7.990395012596631,Excellent
1009,84.04460046972835,96.98799479751544,62.483400442959294,15.981817134249226,1.588295418079467,Good
1010,88.32290311184181,83.5431705033016,74.47124818215703,19.59231501546895,5.388140743060458,Average
1011,60.823379771832094,76.80491175614739,61.06047209098011,20.69867199047015,1.3025224016495436,Average
1012,98.79639408647978,65.09458217743713,99.38340039983234,18.516830753209373,1.5638788310981906,Good
1013,93.29770563201687,95.9637090012408,97.20296698433066,23.977045006963497,9.157937080099698,Excellent
1014,68.49356442713105,91.9638333700245,51.9713405684253,2.4193494015563175,2.2532083400583565,Average
1015,67.27299868828402,42.713120206371364,85.27875862578442,6.50289367072156,5.791786140476954,Average
1016,67.33618039413736,41.58201846983512,96.26241587078329,2.173946124497269,4.699860423406359,Average
1017,72.1696897183815,62.58780201268297,59.02876725636668,16.89191842555587,4.126089936329584,Average
1018,80.99025726528951,88.63319984690997,78.39726152763147,22.654702625849698,9.098500111185452,Excellent
1019,77.27780074568463,99.23656775889667,95.77441487940209,7.600092821254883,1.1964105709794055,Good
1020,71.64916560792167,49.02501346621169,51.69729892928994,23.321794530315053,6.9741071755803015,Average
1021,84.47411578889518,75.6478429211281,84.871013362342,3.3861499766598997,9.670549907921954,Good
1022,65.57975442608168,62.85345139786129,64.86745036862754,23.492028616526827,6.041513651156578,Good
1023,71.68578594140872,98.19486386887618,96.21980976882652,10.087321806511591,9.431402158297827,Excellent
1024,74.65447373174767,90.52713538814251,98.55291225826838,4.3326790543319795,1.470320913574214,Good
1025,78.24279936868143,90.29972228266827,97.2133244556717,13.17505046128549,4.769139871667452,Good
1026,91.40703845572054,68.12158958769822,73.71071083287319,7.905861057571682,3.3414201186584602,Good
1027,67.98695128633439,64.8891701402599,93.10213254946567,8.552076745124225,7.577388684826568,Average
1028,80.56937753654447,56.40442431584238,92.22746992675351,9.067669193304592,9.83167381447522,Good
1029,83.6965827544817,43.382529799055625,65.95502366216279,20.46959565015126,3.30877056199823,Average
1030,61.858016508799906,91.8833425753032,91.44577370753387,14.400709363530853,6.88757141326667,Good
1031,84.30179407605753,88.77406054780465,51.85038173577463,9.160077080588085,2.7828786948376614,Good
1032,66.82096494749166,99.98306039716783,79.81349392410266,16.03767701615112,6.087972291144489,Good
1033,62.60206371941118,99.79821022443431,61.50044186438515,18.471465507133452,5.175392380195026,Good
1034,97.95542149013333,73.32590233615764,56.02834428886394,8.270352016871277,9.748047966683833,Good
1035,98.62528132298237,86.13924491083063,53.84766008146046,11.511629335083084,6.476745454268199,Good
1036,92.33589392465845,96.68594379294568,84.81443879390699,4.803380146749793,4.145557348781369,Good
1037,72.18455076693482,90.97884344064468,66.9937481884033,6.166435039297648,2.0268620639914,Average
1038,63.90688456025536,54.84088610459186,86.23833857643808,17.665710641194604,2.361221458614411,Average
1039,87.36932106048627,67.03264811860561,53.26781703994712,6.17308199699942,3.0278523695611157,Average
1040,77.60609974958405,47.7495649090897,65.76451689153052,14.078757824342384,3.258699952062682,Average
1041,64.88152939379115,97.24306163552333,76.97456461876686,18.30806401961595,8.65554452057024,Good
1042,79.80707640445081,76.3704780670528,89.53615824194819,4.458169231179108,6.051005094542724,Good
1043,61.375540844608736,53.71856833020776,65.9376251466035,15.048181051464782,5.710518202369298,Average
1044,96.37281608315129,80.30204106435141,81.29456882185045,7.900944025131366,2.0329198468229572,Good
1045,70.35119926400068,77.08769442747375,94.29888741180935,24.147318130464335,8.741257240144915,Good
1046,86.50089137415928,61.48976308197043,80.79315940911523,13.12154987455827,7.5053287288763535,Average
1047,72.46844304357644,46.81345553197774,61.64797373768169,20.537828644828636,1.6090152571000143,Average
1048,80.80272084711243,80.29439173556798,51.220039077826904,14.65521046959402,7.370515875067918,Good
1049,81.86841117373119,71.2184620542276,93.50494369504649,2.998488255660841,5.8918439560838145,Average
1050,67.39417822102108,86.33910350413836,51.063470542519354,16.562481638662515,1.7355281117210044,Average
1051,98.78338511058234,71.2098100667196,93.73508363420997,23.88227687075311,5.124705773757908,Good
1052,91.00531293444459,91.1308900191124,76.4468567013606,15.837071863365617,5.362266584170423,Good
1053,97.57995766256757,73.11441032646914,96.95338492564481,20.841343766816173,2.4919708614694818,Good
1054,95.79309401710594,73.65627829212318,89.93916178868326,22.33674865701338,9.51128332300254,Excellent
1055,83.9159991524434,92.5992161595007,99.89670552666686,7.245834754825447,8.649778343325957,Good
1056,96.87496940092467,64.20897197274383,67.53559077258551,6.877031317889212,7.021201035961975,Average
1057,63.53970008207678,48.04091370703844,88.35941444655634,16.05256274357281,5.160660049005465,Average
