study_hours_per_week,parent_collaboration,attendance_rate,average_marks,final_grade
12.487123327726149,7.2834554261777065,59.25664644193098,71.14490710817309,60.08461486605231
28.620000579477654,5.824867297097083,77.0950473689179,68.75091265778386,72.12354816666141
22.495830370719343,3.78574854657695,93.64729179382041,41.53852394838614,63.73494084823828
18.762437557517025,8.324155177362538,86.61124432047805,60.474869657569386,73.30197263298591
6.368521932388223,7.162580552984913,90.32805739307248,62.811737127151424,69.82392607534852
6.367846569413674,2.463552454104022,82.93916833553587,63.92936685381403,57.83521062244828
3.626341140709585,9.198344660444583,84.61382822589263,74.81034215363994,75.02674450762598
26.252932081698184,8.402835186308522,92.45978257826596,72.0161528036127,81.87018898182721
18.831220328809845,9.548199219627316,62.483400442959294,76.47430556760668,71.34920427290095
21.826032178289275,7.531475575495239,74.47124818215703,85.8929956925277,76.61407875187331
2.5763658402824685,6.520736763422109,61.06047209098011,88.7791443229656,57.417733680853665
29.15747586053584,4.76418732661557,99.38340039983234,83.08738457358967,89.99962667741356
25.308393942411808,9.39455635018612,97.20296698433066,97.33142175729608,97.20023796313228
7.945495098991732,8.794575005503674,51.9713405684253,41.0939549605817,46.54691831927694
7.091099081798817,1.4069680309557047,85.27875862578442,51.74667914101276,55.696181349418474
7.135326275896147,1.2373027704752682,96.26241587078329,40.45377249868853,56.22257045264725
10.518782802867056,4.388170301902447,59.02876725636668,78.84848284927618,57.15412642071372
16.693180085702657,8.294979977036496,78.39726152763147,93.88183293699922,80.03784010727679
14.094460521979242,9.8854851638345,95.77441487940209,54.608937794577955,74.67308255905053
10.154415925545173,2.3537520199317536,51.69729892928994,95.6220726877784,60.00589820559666
19.131881052226625,6.347176438169216,84.871013362342,43.61604341737365,63.93549686402546
5.905828098257171,4.428017709679194,64.86745036862754,96.06616160833086,64.43830570324042
10.18005015898611,9.72922958033143,96.21980976882652,61.09736123437806,74.32933249488607
12.258131612223368,8.579070308221379,98.55291225826838,46.08524970695299,67.52270177480962
14.769959558077005,8.54495834240024,97.2133244556717,69.15230555117954,72.76274347390009
23.98492691900438,5.218238438154732,73.71071083287319,55.40659406323048,68.65431391436675
7.590865900434073,4.733375521038987,93.10213254946567,57.092374117715366,61.7439343473108
16.398564275581123,3.4606636473763563,92.22746992675351,58.43739789557719,64.8755628245806
18.58760792813719,1.507379469858344,65.95502366216279,88.1815538699598,69.7504770513966
3.3006115561599363,8.782501386295479,91.44577370753387,72.34967660051527,74.82296034472648
19.011255853240275,8.316109082170698,51.85038173577463,58.67846194936022,56.383784311194226
6.774675463244163,9.997459059575176,79.81349392410266,76.6200269986551,72.14918267590753
3.8214446035878264,9.969731533665149,61.50044186438515,82.96904045339161,67.87776344804044
28.56879504309333,5.998885350423647,56.02834428886394,56.35744004401202,64.50121181494539
29.037696926087662,7.9208867366245945,53.84766008146046,64.8129460915211,67.72640048215666
24.63512574726091,9.502891568941852,84.81443879390699,47.313165600216855,69.3173731804029
10.52918553685438,8.646826516096702,66.9937481884033,50.86896097208082,55.21878028458279
4.734819192178748,3.226132915688779,86.23833857643808,80.86707123789897,68.37985374823411
21.158524742340393,5.054897217790842,53.26781703994712,50.88630086173762,51.40541959930958
14.324269824708836,2.162434736363455,65.76451689153052,71.50980302002361,52.17485818336682
5.417070575653807,9.586459245328502,76.97456461876686,82.54277570334597,73.56017330824737
15.864953483115565,6.455571710057921,89.53615824194819,46.41261538568463,66.99462203708845
2.962878591226115,3.0577852495311646,65.9376251466035,74.03873317773422,50.142607871628
27.4609712582059,7.045306159652711,81.29456882185045,55.393767022081825,68.34347508547714
9.245839484800474,6.5631541641210625,94.29888741180935,97.77561251425479,85.15376936962969
20.550623961911494,4.223464462295564,80.79315940911523,69.01273880319548,76.54368885487398
10.727910130503506,2.022018329796661,61.64797373768169,88.35955298650948,64.36360256580178
16.561904592978703,7.044158760335196,51.220039077826904,73.0135925293757,60.26527196983035
17.30788782161183,5.68276930813414,93.50494369504649,42.60475197128915,63.54800103349666
7.175924754714757,7.950865525620754,51.063470542519354,77.98908253564134,64.72771690218364
